Function,Algorithm,Mean,StdDev,Rank
F3_CEC2022,FSRO_Variant2,600.0000064,1.67e-06,2
F3_CEC2022,FSRO_Variant3,600.3581542,0.176799118,7
F3_CEC2022,FSRO_Variant4,601.0266974,0.346583297,9
F3_CEC2022,FSRO_Variant5,601.0387497,0.282833387,10
F3_CEC2022,DE,600.1895757,0.130824592,4
F3_CEC2022,GWO,600.2849364,0.089830833,6
F3_CEC2022,HHO,601.1031711,0.0,12
F3_CEC2022,MFO,600.2508319,0.162729594,5
F3_CEC2022,PSO,600.0424017,0.045125348,3
F3_CEC2022,SMA,601.2816941,0.394809209,14
F3_CEC2022,WOA,601.1031711,0.0,12
F4_CEC2022,FSRO_Original,986.5170778,61.43978936,8
F4_CEC2022,FSRO_Modified,821.6681636,7.090130192,1
F4_CEC2022,FSRO_Variant1,945.1889061,48.06598224,6
F4_CEC2022,FSRO_Variant2,876.3761436,34.88526374,3
F4_CEC2022,FSRO_Variant3,906.7007442,43.01843449,5
F4_CEC2022,FSRO_Variant4,998.7128005,39.98137563,9
F4_CEC2022,FSRO_Variant5,1042.704176,43.81090081,11
F4_CEC2022,DE,854.3507319,22.03326367,2
F4_CEC2022,GWO,1007.307156,55.42212046,10
F4_CEC2022,HHO,1118.79406,0.0,13
F4_CEC2022,MFO,971.4434033,53.47241155,7
F4_CEC2022,PSO,880.8,32.23631493,4
F4_CEC2022,SMA,1083.617165,55.117174,12
F4_CEC2022,WOA,1118.79406,0.0,13
F5_CEC2022,FSRO_Original,911.3596078,4.234714626,12
F5_CEC2022,FSRO_Modified,900.1699323,0.271051699,1
F5_CEC2022,FSRO_Variant1,906.6591653,2.577691467,8
F5_CEC2022,FSRO_Variant2,901.6053208,1.004019498,2
F5_CEC2022,FSRO_Variant3,903.2656491,2.308929932,6
F5_CEC2022,FSRO_Variant4,911.3509983,3.953624405,11
F5_CEC2022,FSRO_Variant5,912.430838,4.14217571,13
F5_CEC2022,DE,901.6096175,1.217501018,3
F5_CEC2022,GWO,902.5753375,0.682957583,4
F5_CEC2022,HHO,909.0955232,0.0,9
F5_CEC2022,MFO,906.2898834,2.815753456,7
F5_CEC2022,PSO,902.7529982,1.946054212,5
F5_CEC2022,SMA,915.8019096,5.696734835,14
F5_CEC2022,WOA,909.0955232,0.0,9
